Game;ReleaseDate;Genre;LANEarnings;OnlineEarnings;TotalPlayers;TotalTournaments;AllEarnings;TierCompetitive
Return to Castle Wolfenstein;2001;First-Person Shooter;674243;674243;30;3;1348486;5
Summoners War: Sky Arena;2014;Strategy;652000;372000;32;6;1024000;5
Under Night In-Birth Exe:Late[cl-r];2020;Fighting Game;633701;570725;38;9;1204426;5
Persona 4 Arena;2012;Fighting Game;633663;633663;42;11;1267326;5
Hearthstone Battlegrounds;2019;Collectible Card Game;603630;300000;79;7;903630;5
Under Night In-Birth EXE: Late;2014;Fighting Game;602576;602576;52;23;1205152;5
Windjammers;1994;Strategy;565147;516216;36;16;1081363;5
Lethal League Blaze;2018;Fighting Game;564392;167775;25;12;732167;5
Call of Duty: Modern Warfare II;2022;First-Person Shooter;563000;500000;59;4;1063000;5
Tetr.io;2020;Puzzle Game;528788;20344;27;13;549132;5
Tower Tag;2020;First-Person Shooter;517041;0;25;5;517041;5
Doom II: Hell on Earth;1994;First-Person Shooter;510856;2200;14;8;513056;5
Unreal Tournament (2016);2016;First-Person Shooter;508497;0;82;8;508497;5
Mario Kart 8 Deluxe;2017;Racing;500444;500444;48;9;1000888;5
eFootball;2021;Sports;492000;25000;62;14;517000;5
BlazBlue: Chronophantasma Extend;2015;Fighting Game;491877;491877;28;11;983754;5
Supreme Commander;2007;Strategy;490126;490126;0;1;980252;5
S.T.A.L.K.E.R.: Shadow of Chernobyl;2007;First-Person Shooter;490126;490126;0;1;980252;5
Them's Fightin' Herds;2018;Fighting Game;457819;530;28;29;458349;5
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe;2009;Fighting Game;450152;220;18;6;450372;5
CrossFire HD;2022;First-Person Shooter;432765;432765;56;2;865530;5
Power Rangers: Legacy Wars;2017;Fighting Game;417855;417855;2;1;835710;5
Rushdown Revolt;2021;Fighting Game;416009;0;31;18;416009;5
Madden NFL 2013;2012;Sports;400000;400000;8;1;800000;5
NHL '94;1993;Sports;381856;381856;25;8;763712;5
Puyo Puyo Tetris;2014;Puzzle Game;342284;161775;31;16;504059;5
Sailor Moon S;1995;Fighting Game;328119;327119;20;12;655238;5
NHL 15;2014;Sports;315716;315716;3;3;631432;5
NHL 14;2013;Sports;302396;302396;6;3;604792;5
Super Street Fighter IV;2010;Fighting Game;302293;208773;43;18;511066;5
Halo: Combat Evolved;2001;First-Person Shooter;299281;299281;118;39;598562;5
Hyper Scape;2020;Multiplayer Online Battle Arena;299000;0;260;4;299000;5
Street Fighter Alpha 2;1996;Fighting Game;294469;1830;24;11;296299;5
Tatsunoko vs. Capcom: Ultimate All-Stars;2010;Fighting Game;277176;133081;16;16;410257;5
Pokémon VGC;2017;Strategy;271102;271000;217;31;542102;5
Realm Royale;2018;First-Person Shooter;263000;0;47;9;263000;5
Aim Gods;2020;First-Person Shooter;250000;0;2;1;250000;5
Pro Evolution Soccer 2018;2017;Sports;250000;250000;20;3;500000;5
Reflex;2015;First-Person Shooter;245837;16366;24;9;262203;5
Forza Motorsport 2;2007;Racing;222000;222000;17;2;444000;5
Pokkén Tournament DX;2017;Fighting Game;221254;21914;44;28;243168;5
Pro Evolution Soccer 2019;2019;Sports;216000;216000;25;2;432000;5
Gran Turismo 7;2022;Sports;210848;0;13;3;210848;5
Pro Evolution Soccer 2008;2007;Sports;208415;208415;6;3;416830;5
NASCAR Heat 4;2019;Racing;200500;0;34;5;200500;5
F1 2018;2018;Racing;200000;200000;21;1;400000;5
Guns of Boom;2017;First-Person Shooter;198750;190000;8;21;388750;5
Tetris Effect: Connected;2020;Puzzle Game;193491;155288;12;3;348779;5
F.E.A.R.;2005;First-Person Shooter;178000;178000;20;5;356000;5
Forza Motorsport 6;2015;Racing;172600;170200;43;9;342800;5
Gears of War: Ultimate Edition;2015;Third-Person Shooter;170000;170000;39;3;340000;5
Fighting EX Layer;2018;Fighting Game;164296;163296;16;7;327592;5
Onward;2016;First-Person Shooter;161820;123000;92;8;284820;5
Pokemon Unite;2021;Multiplayer Online Battle Arena;150000;0;97;4;150000;5
Super People;2022;Battle Royale;144526;0;95;11;144526;5
MechWarrior Online;2013;First-Person Shooter;143490;143490;0;1;286980;5
Pro Evolution Soccer 2009;2008;Sports;139597;0;5;2;139597;5
Gears of War 2;2008;Third-Person Shooter;135000;135000;0;5;270000;5
Special Force;2004;First-Person Shooter;130250;130250;0;3;260500;5
Supreme Commander: Forged Alliance;2007;Strategy;129001;129001;0;1;258002;5
Madden NFL 19;2018;Sports;125000;125000;5;3;250000;5
Radical Heights;2018;Battle Royale;120000;0;12;2;120000;5
Escape from Tarkov;2020;First-Person Shooter;114600;0;150;4;114600;5
Warface;2013;First-Person Shooter;109555;109555;32;2;219110;5
Attack on Titan Tribute Game;2013;Fighting Game;108650;0;21;15;108650;5
Windjammers 2;2022;Fighting Game;105607;105607;3;56;211214;5
Shards of War;2015;Multiplayer Online Battle Arena;102921;0;20;1;102921;5
NHL 18;2017;Sports;102700;90000;20;6;192700;5
Sea of Thieves;2016;Strategy;100000;0;67;4;100000;5
Zula;2015;First-Person Shooter;100000;100000;20;1;200000;5
Creative Destruction;2018;Multiplayer Online Battle Arena;100000;0;8;1;100000;5
Madden NFL 2006;2005;Sports;100000;100000;1;1;200000;5
Madden NFL 2007;2006;Sports;100000;100000;1;1;200000;5
Madden NFL 2008;2007;Sports;100000;100000;1;1;200000;5
Madden NFL 2009;2008;Sports;100000;100000;1;1;200000;5
Rocket Arena;2020;Battle Royale;100000;0;24;3;100000;5
Stardew Valley;2016;Role-Playing Game;97850;0;69;3;97850;5
Soul Calibur II HD Online;2013;Fighting Game;94541;94541;29;5;189082;5
Skullgirls Encore;2014;Fighting Game;91554;91554;37;13;183108;5
Puyo Puyo Tetris 2;2020;Puzzle Game;89602;78585;10;2;168187;5
Unreal Tournament;1999;First-Person Shooter;89000;89000;14;5;178000;5
Among Us;2018;Strategy;86000;0;14;8;86000;5
Rainbow Six: Vegas 2;2008;First-Person Shooter;79000;79000;0;8;158000;5
Trackmania 2: Valley;2013;Racing;77934;77934;6;2;155868;5
Big Buck Hunter Arcade;2016;First-Person Shooter;76200;76200;3;1;152400;5
Pokémon GO;2016;Strategy;73340;71450;68;12;144790;5
NHL 12;2011;Sports;70293;70293;6;2;140586;5
NHL 13;2012;Sports;70000;70000;1;1;140000;5
Ring of Elysium;2018;Battle Royale;70000;0;9;4;70000;5
Rise of Nations: Rise of Legends;2006;Strategy;69600;69600;8;1;139200;5
Trackmania Turbo;2016;Racing;67941;0;6;2;67941;5
Power Rangers: Battle for the Grid;2019;Fighting Game;67468;30862;26;12;98330;5
Project Cars 2;2017;Racing;66150;58150;37;22;124300;5
Garou: Mark of the Wolves;1999;Fighting Game;65871;51371;13;4;117242;5
World of Tanks Blitz;2016;Strategy;63330;60000;14;6;123330;5
Fight of Animals;2019;Fighting Game;63068;0;9;4;63068;5
Carom 3D;1999;Sports;60500;60500;11;4;121000;5
Dead By Daylight;2016;Strategy;60000;0;35;9;60000;5
NASCAR Thunder 2003;2002;Racing;59335;59335;0;1;118670;5
Samurai Shodown V Special;2004;Fighting Game;59057;49011;15;5;108068;5
Red Stone;2004;Role-Playing Game;58000;58000;12;2;116000;5
Fantasy Strike;2019;Fighting Game;57998;2610;21;5;60608;5
Virtua Fighter 5 Final Showdown;2010;Fighting Game;57377;57377;28;6;114754;5
DOOMBRINGER;2017;First-Person Shooter;56777;0;8;4;56777;5
Asphalt 9: Legends;2018;Racing;51520;51520;5;2;103040;5
Rezzil Player;2021;Sports;51250;0;15;10;51250;5
Resistance 2;2008;First-Person Shooter;50400;0;194;1;50400;5
Borderlands 3;2019;First-Person Shooter;50000;0;16;1;50000;5
Descent 3;1999;First-Person Shooter;50000;50000;1;1;100000;5
Splitgate: Arena Warfare;2019;Multiplayer Online Battle Arena;50000;0;64;2;50000;5
WWE 2K20;2019;Fighting Game;50000;0;20;2;50000;5
FIFA 2000;1999;Sports;50000;50000;4;1;100000;5
Madden NFL 2016;2015;Sports;50000;50000;8;1;100000;5
Spellbreak;2020;Battle Royale;50000;0;42;1;50000;5
Rogue Company;2020;Third-Person Shooter;50000;0;48;2;50000;5
Legend of Glory;2015;Multiplayer Online Battle Arena;47266;0;0;1;47266;5
Echo Combat;2018;First-Person Shooter;46800;46800;16;1;93600;5
FIFA 2001;2000;Sports;46000;46000;9;2;92000;5
Crab Game;2021;Multiplayer Online Battle Arena;45950;44000;32;11;89950;5
Pocket Bravery;2022;Fighting Game;45235;45235;3;1;90470;5
Gran Turismo 4;2004;Racing;44000;44000;5;2;88000;5
FIFA 2002 World Cup;2002;Sports;43000;43000;8;1;86000;5
Aliens versus Predator 2;2001;First-Person Shooter;40000;40000;1;1;80000;5
FIFA 04;2003;Sports;40000;40000;3;3;80000;5
Virtua Fighter 5;2007;Fighting Game;39830;39830;14;7;79660;5
Dengeki Bunko: Fighting Climax Ignition;2015;Fighting Game;38528;36673;40;14;75201;5
Grey Goo;2015;Strategy;36400;30400;18;5;66800;5
VAIL VR;2022;First-Person Shooter;36000;35000;30;2;71000;5
Need for Speed: Underground;2003;Racing;35000;35000;3;1;70000;5
Project Gotham Racing 2;2003;Racing;35000;35000;4;2;70000;5
JoJo's Bizarre Adventure: Heritage for the Future;1999;Fighting Game;32499;0;8;3;32499;5
Pro Evolution Soccer 5;2005;Sports;32000;32000;4;1;64000;5
Space Junkies;2019;First-Person Shooter;30420;24600;33;4;55020;5
UNO;2016;Strategy;30000;0;28;3;30000;5
Dead or Alive Ultimate;2004;Fighting Game;30000;30000;3;1;60000;5
Dirt Rally 2.0;2019;Racing;30000;10000;9;4;40000;5
Smash Remix;2019;Fighting Game;29906;0;4;1;29906;5
Asphalt 4;2008;Racing;29500;29500;5;2;59000;5
The Division 2;2019;Third-Person Shooter;27250;0;40;2;27250;5
WRC 10 FIA World Rally Championship;2021;Racing;25250;25250;1;1;50500;5
Pro Evolution Soccer 3;2003;Sports;25000;25000;8;2;50000;5
Puyo Puyo Champions;2019;Puzzle Game;24823;20718;14;5;45541;5
Ghost Recon Advanced Warfighter;2006;First-Person Shooter;24000;24000;0;2;48000;5
Shadowrun;2007;First-Person Shooter;24000;24000;0;3;48000;5
Kirby Fighters 2;2020;Fighting Game;22286;0;4;1;22286;5
GRID (2019);2019;Racing;21875;21875;3;1;43750;5
Dragon Ball Z: Budokai 3;2004;Fighting Game;20406;20406;3;1;40812;5
Mad Skills Motocross 2;2017;Racing;20163;20163;12;1;40326;5
Sekiro: Shadows Die Twice;2019;Fighting Game;19596;0;20;1;19596;5
Golf With Your Friends;2016;Sports;19400;0;11;2;19400;5
Cultris II;2011;Puzzle Game;19095;0;3;1;19095;5
Guitar Hero III: Legends of Rock;2007;Sports;19000;19000;8;2;38000;5
Mordhau;2019;Fighting Game;16623;0;40;3;16623;5
Super Street Fighter II Turbo HD Remix;2008;Fighting Game;16360;16360;29;8;32720;5
Lemnis Gate;2021;First-Person Shooter;15647;0;6;5;15647;5
The Binding of Isaac;2011;Strategy;15000;0;16;1;15000;5
Forza Motorsport 4;2011;Racing;13237;13237;2;1;26474;5
Eternal Fighter Zero;2000;Fighting Game;13116;0;7;2;13116;5
Prophecy;2020;Strategy;13000;0;27;4;13000;5
Tekken 4;2001;Fighting Game;12500;12500;4;4;25000;5
Tekken 5: Dark Resurrection;2006;Fighting Game;12180;12180;18;5;24360;5
Wise Star 2;2008;Puzzle Game;12000;12000;3;1;24000;5
Sprint Vector;2018;Racing;11750;11750;8;1;23500;5
Artifact Foundry;2020;Collectible Card Game;11745;0;21;12;11745;5
Forza Motorsport 3;2009;Racing;11000;11000;3;2;22000;5
Mystery Game Tournament;2019;Fighting Game;10995;10995;56;8;21990;5
Need for Speed: Shift;2009;Racing;10500;10500;3;1;21000;5
Guitar Hero 5;2009;Sports;10500;10500;3;1;21000;5
Guilty Gear XX Accent Core;2007;Fighting Game;10365;10365;33;4;20730;5
Trackmania United;2006;Racing;10275;10275;3;1;20550;5
Guilty Gear XX Slash;2005;Fighting Game;10250;10250;6;2;20500;5
Hyper Street Fighter II;2003;Fighting Game;10250;10250;8;1;20500;5
Tekken 5;2004;Fighting Game;10250;10250;10;9;20500;5
Splatoon 2;2017;First-Person Shooter;10055;9755;13;7;19810;5
Dead by Daylight Mobile;2020;Strategy;10000;0;0;1;10000;5
Internet Chess Club;1995;Strategy;10000;0;6;1;10000;5
Zombieland VR: Headshot Fever;2021;First-Person Shooter;10000;0;4;1;10000;5
Metal Gear Online;2008;First-Person Shooter;8000;0;37;8;8000;5
Million Arthur: Arcana Blood;2017;Fighting Game;7540;7530;12;4;15070;5
Pistol Whip;2019;First-Person Shooter;7500;0;13;1;7500;5
Doom (2016);2016;First-Person Shooter;7000;7000;6;1;14000;5
Nascar Heat 5;2020;Racing;6125;2500;20;2;8625;5
Divekick;2013;Fighting Game;5840;5840;27;11;11680;5
Archangel Hellfire;2017;First-Person Shooter;5500;2000;14;9;7500;5
Rage;2011;First-Person Shooter;5000;5000;3;1;10000;5
Forza Horizon 5;2021;Racing;5000;0;7;1;5000;5
GOLF Plus;2020;Sports;5000;5000;4;1;10000;5
The Elder Scrolls: Legends;2017;Collectible Card Game;5000;5000;3;1;10000;5
Soul Calibur II;2003;Fighting Game;4980;4980;17;8;9960;5
Naruto Shippuden: Ultimate Ninja Storm 4;2016;Fighting Game;4550;2000;7;5;6550;5
Faeria;2017;Collectible Card Game;4100;0;12;5;4100;5
Nock;2022;Sports;4050;0;12;2;4050;5
Gran Turismo 3: A-Spec;2001;Racing;3250;3250;4;2;6500;5
Microsoft Excel;1985;Puzzle Game;3200;0;17;8;3200;5
Mythgard;2019;Collectible Card Game;3000;0;9;3;3000;5
Rocket League Sideswipe;2021;Sports;2500;0;1;1;2500;5
Synth Riders;2018;Sports;2100;600;11;7;2700;5
ComPet;2016;Strategy;2000;0;50;1;2000;5
Walkabout Mini Golf;2021;Sports;2000;0;7;2;2000;5
Nitroplus Blasterz: Heroines Infinite Duel;2015;Fighting Game;1994;1994;10;4;3988;5
Virtua Fighter 5: Ultimate Showdown;2021;Fighting Game;1870;870;14;3;2740;5
Koihime Enbu;2016;Fighting Game;1765;1615;14;7;3380;5
Catherine;2011;Puzzle Game;1545;1470;11;7;3015;5
Madden NFL 2004;2003;Sports;1500;1500;3;1;3000;5
Splatoon;2015;First-Person Shooter;1390;0;3;4;1390;5
Pavlov;2017;First-Person Shooter;1260;0;19;3;1260;5
Warparty;2019;Strategy;1175;0;6;2;1175;5
Loco Dojo Unleashed;2021;Strategy;1000;1000;4;1;2000;5
Contractors;2018;First-Person Shooter;1000;0;20;1;1000;5
Snapshot VR;2020;First-Person Shooter;1000;0;15;2;1000;5
Arcana Heart 3;2009;Fighting Game;1000;1000;4;1;2000;5
Ninja Legends;2019;Fighting Game;1000;0;6;1;1000;5
Rising Thunder;2015;Fighting Game;1000;1000;3;1;2000;5
SuperPlayer;2022;Sports;1000;0;3;1;1000;5
Kill la Kill the Game: IF;2019;Fighting Game;920;770;12;4;1690;5
Teenage Mutant Ninja Turtles: Tournament Fighters;1993;Fighting Game;820;820;7;2;1640;5
Star Wars: Squadrons;2020;Strategy;800;0;4;1;800;5
JoJo's Bizarre Adventure: All Star Battle R;2022;Fighting Game;780;780;8;1;1560;5
King of Fighters 2002 Unlimited Match;2009;Fighting Game;760;760;6;2;1520;5
Cave Digger 2;2021;Role-Playing Game;750;0;4;1;750;5
Duck Game;2014;Fighting Game;750;0;5;2;750;5
Audio Trip;2020;Sports;650;0;4;2;650;5
Mario Tennis Aces;2018;Sports;613;0;6;2;613;5
Slap City;2018;Fighting Game;600;0;5;2;600;5
SLAYERS FOR HIRE;2020;Fighting Game;600;0;8;2;600;5
Arcana Heart 3: Love Max Six Stars!!!!!;2014;Fighting Game;570;520;8;4;1090;5
Def Jam: Fight for NY;2004;Fighting Game;550;360;6;3;910;5
NBA 2K21;2020;Sports;501;0;3;1;501;5
Jak and Daxter: The Precursur Legacy;2001;Racing;500;0;16;1;500;5
Gym Masters VR;2021;Sports;500;0;4;1;500;5
Racket: NX;2018;Sports;500;0;3;1;500;5
Void Racer;2020;Racing;460;0;4;1;460;5
Beat Aim;2019;First-Person Shooter;430;0;12;6;430;5
SNK Heroines: Tag Team Frenzy;2018;Fighting Game;430;430;3;1;860;5
Mobile Suit Gundam: Extreme Vs Maxi Boost ON;2016;Third-Person Shooter;420;320;12;2;740;5
Acceleration of SUGURI 2;2018;Fighting Game;410;210;8;3;620;5
Arcana Heart 3: LOVE MAX!!!!!;2013;Fighting Game;410;410;6;2;820;5
Punch Planet;2017;Fighting Game;400;0;6;2;400;5
Street Fighter EX2 Plus;1999;Fighting Game;350;350;5;2;700;5
Street Fighter Alpha 3;1998;Fighting Game;340;340;16;5;680;5
Maiden & Spell;2020;Fighting Game;325;0;5;2;325;5
Ultra Fight Da! Kyanta 2;2019;Fighting Game;320;320;3;1;640;5
Skullgirls;2012;Fighting Game;300;300;3;1;600;5
Gundam Versus;2017;First-Person Shooter;280;280;6;1;560;5
Jstris;2014;Puzzle Game;275;0;12;2;275;5
Soul Calibur IV;2008;Fighting Game;260;260;3;2;520;5
Blankos Block Party;2020;Multiplayer Online Battle Arena;250;0;3;1;250;5
Aquapazza: Aquaplus Dream Match;2011;Fighting Game;245;245;5;2;490;5
MOBA Legends;2016;Multiplayer Online Battle Arena;225;0;3;1;225;5
Tetris Ultimate;2014;Puzzle Game;221;221;3;1;442;5
Super Mario Party;2018;Strategy;220;220;4;1;440;5
Digimon Rumble Arena;2001;Fighting Game;200;0;5;2;200;5
Naruto: Gekitou Ninja Taisen! 4;2005;Fighting Game;200;0;3;1;200;5
Schwarzerblitz;2020;Fighting Game;200;0;5;2;200;5
Fighter's History Dynamite;1994;Fighting Game;195;195;3;1;390;5
Project Plus;2019;Fighting Game;195;0;6;2;195;5
Umineko: Golden Fantasia;2010;Fighting Game;190;90;9;3;280;5
Pocket Rumble;2016;Fighting Game;185;0;5;2;185;5
Catherine: Full Body;2019;Puzzle Game;185;185;3;1;370;5
Warsow;2012;First-Person Shooter;183;0;2;1;183;5
Project Justice;2000;Fighting Game;165;165;3;1;330;5
Ultimate Mortal Kombat 3;1995;Fighting Game;150;150;6;2;300;5
Speedrunners;2016;Racing;150;0;5;2;150;5
Twinkle Star Sprites;1996;Puzzle Game;150;0;4;2;150;5
Hokuto no Ken;2005;Fighting Game;145;145;3;1;290;5
Capcom vs. SNK;2000;Fighting Game;140;140;6;2;280;5
Chaos Code: New Sign of Catastrophe;2013;Fighting Game;140;140;3;1;280;5
HYPERFIGHT;2019;Fighting Game;140;0;4;2;140;5
Panel Attack;2020;Puzzle Game;140;0;5;2;140;5
Magical Drop III;1997;Puzzle Game;130;130;3;1;260;5
Chex Quest;1996;First-Person Shooter;100;0;2;1;100;5
Mighty Fight Federation;2021;Fighting Game;100;0;3;1;100;5
Red Earth;1996;Fighting Game;100;0;3;1;100;5
Toribash;2006;Fighting Game;100;0;3;1;100;5
Tough Love Arena;2021;Fighting Game;100;0;3;1;100;5
Power Instinct: Matrimelee;2002;Fighting Game;90;0;5;2;90;5
Shrek SuperSlam;2005;Fighting Game;80;0;4;2;80;5
Samurai Shodown III;1995;Fighting Game;70;0;5;2;70;5
Dengeki Bunko: Fighting Climax;2014;Fighting Game;60;60;3;1;120;5
Shovel Knight Showdown;2019;Fighting Game;60;60;3;1;120;5
The Last Blade 2;1998;Fighting Game;60;0;4;2;60;5
Roof Rage;2019;Fighting Game;50;0;3;1;50;5
BlazBlue: Calamity Trigger;2008;Fighting Game;35;35;3;1;70;5
Guilty Gear;1998;Fighting Game;32;32;3;1;64;5
King of Fighters XI;2005;Fighting Game;25;25;3;1;50;5
Akatsuki Blitzkampf;2007;Fighting Game;20;0;3;1;20;5
Breakers Revenge;1998;Fighting Game;16;0;3;1;16;5
Asuka 120% LimitOver BURNING Fest.;1998;Fighting Game;10;0;3;1;10;5
Clash Royale x Chess;2022;Strategy;0;0;0;0;0;0
Endgods;2015;Strategy;0;0;0;0;0;0
Heroes of Might and Magic III;1999;Strategy;0;0;0;0;0;0
Iron Harvest;2020;Strategy;0;0;0;0;0;0
Legion TD 2;2021;Strategy;0;0;0;0;0;0
Men of War: Assault Squad 2;2014;Strategy;0;0;0;0;0;0
Warhammer 40,000: Dawn of War II;2009;Strategy;0;0;0;0;0;0
Alliance of Valiant Arms;2009;First-Person Shooter;0;0;0;0;0;0
Battlefield 1;2016;First-Person Shooter;0;0;0;0;0;0
Battlefield V;2018;First-Person Shooter;0;0;0;0;0;0
EV.IO;2021;First-Person Shooter;0;0;0;0;0;0
Ironsight;2018;First-Person Shooter;0;0;0;0;0;0
Islands of Nyne;2017;First-Person Shooter;0;0;0;0;0;0
Rainbow Six Extraction;2022;First-Person Shooter;0;0;0;0;0;0
Resistance 2;2008;First-Person Shooter;0;0;0;0;0;0
Rust;2013;First-Person Shooter;0;0;0;0;0;0
Sudden Attack;2005;First-Person Shooter;0;0;0;0;0;0
Vail VR;2022;First-Person Shooter;0;0;0;0;0;0
Zula;2015;First-Person Shooter;0;0;0;0;0;0
Dofus;2004;Multiplayer Online Battle Arena;0;0;0;0;0;0
Roblox;2006;Multiplayer Online Battle Arena;0;0;0;0;0;0
Teeworlds;2007;Multiplayer Online Battle Arena;0;0;0;0;0;0
Chivalry 2;2021;Role-Playing Game;0;0;0;0;0;0
BlazBlue: Continuum Shift Extend;2011;Fighting Game;0;0;3;1;0;0
Brawlout;2017;Fighting Game;0;0;0;0;0;0
Dead or Alive 5;2012;Fighting Game;0;0;4;2;0;0
Dead or Alive 5 Ultimate;2013;Fighting Game;0;0;37;7;0;0
Guilty Gear XX;2002;Fighting Game;0;0;5;2;0;0
Guilty Gear XX #Reload;2003;Fighting Game;0;0;3;1;0;0
Guilty Gear XX Accent Core Plus;2008;Fighting Game;0;0;3;1;0;0
Melty Blood: Actress Again;2009;Fighting Game;0;0;10;2;0;0
Mortal Kombat vs. DC Universe;2008;Fighting Game;0;0;3;1;0;0
Tekken Tag Tournament;1999;Fighting Game;0;0;7;4;0;0
TowerFall: Ascension;2013;Fighting Game;0;0;0;0;0;0
Virtua Fighter 4: Evolution;2002;Fighting Game;0;0;6;3;0;0
Epic Roller Coasters VR;2018;Racing;0;0;0;0;0;0
Hot Lap League;2021;Racing;0;0;0;0;0;0
Jak 3;2004;Racing;0;0;0;0;0;0
Jak II;2003;Racing;0;0;14;1;0;0
Marbles on Stream;2018;Racing;0;0;0;0;0;0
Trackmania United Forever;2008;Racing;0;0;0;0;0;0
Trials Fusion;2014;Racing;0;0;0;0;0;0
Dream league Soccer;2019;Sports;0;0;0;0;0;0
Eleven Table Tennis;2016;Sports;0;0;0;0;0;0
Groove Gunner;2020;Sports;0;0;0;0;0;0
Guitar Hero: World Tour;2008;Sports;0;0;0;0;0;0
Just Dance 2014;2014;Sports;0;0;3;1;0;0
Just Hoops;2021;Sports;0;0;0;0;0;0
NBA 2K Online;2012;Sports;0;0;0;0;0;0
NBA 2K19;2018;Sports;0;0;0;0;0;0
NBA 2K20;2019;Sports;0;0;0;0;0;0
NHL 17;2016;Sports;0;0;0;0;0;0
Pro Evolution Soccer 2013;2012;Sports;0;0;0;0;0;0
Ragnaröck;2021;Sports;0;0;0;0;0;0
Slapshot Rebound;2020;Sports;0;0;0;0;0;0
Soccer Stars;2018;Sports;0;0;0;0;0;0
KARDS, The World War II Card Game;2019;Collectible Card Game;0;0;0;0;0;0
Pokémon TCG;1996;Collectible Card Game;0;0;0;0;0;0
Shardbound;2017;Collectible Card Game;0;0;0;0;0;0
Pac-man;1981;Puzzle Game;0;0;0;0;0;0
Apex Legends Mobile;2022;Battle Royale;0;0;0;0;0;0
Ark: Survival Of The Fittest;2017;Battle Royale;0;0;0;0;0;0
Rules Of Survival;2017;Battle Royale;0;0;0;0;0;0
Knockout City;2021;Third-Person Shooter;0;0;0;0;0;0
